	mRNA	log(FC)	Expression
1646		1.159198	Up
1653	KCCAT333	1.1588813	Up
3392	TRABD2A	1.1587576	Up
1722	DR1	1.1577704	Up
1730	LINC00857	1.1572971	Up
1010	VWA3B	1.1569624	Up
718	ISG20	1.1564231	Up
3461	USH2A	1.1558577	Up
2369		1.1557945	Up
1409	LOC100130370	1.1548846	Up
2116	LAT2	1.1542959	Up
2323	MINCR	1.1527215	Up
2024	MTSS1	1.150562	Up
2644	LOC101929151	1.150059	Up
878	EPN1	1.1497474	Up
2653	AUNIP	1.1485842	Up
906	LMAN2	1.1483466	Up
1146		1.1478264	Up
1845	FBXO28	1.1473003	Up
2483	MS4A5	1.146743	Up
2613	RIDA	1.1435362	Up
1119	OAS2	1.143332	Up
1303	VWA9	1.1419936	Up
2153	C1QTNF5///MFRP	1.1416195	Up
2404		1.1412976	Up
2580	LOC100288181	1.1407527	Up
1547	KLF9	1.1397801	Up
2898	KANSL3	1.1394355	Up
3399	FAM95A	1.1391998	Up
2629	JMJD4	1.1378653	Up
1924	COL5A3	1.1365303	Up
2456	TLE6	1.1361879	Up
2037	ADAM18	1.1361543	Up
3048	CD83	1.1360551	Up
2948	LRRN3	1.1344866	Up
569	LOC101930489///MIR4435-2HG///LINC00152	1.1341477	Up
3012	SNTB1	1.1340542	Up
2533	MRPS30	1.1337934	Up
2134	RFX4	1.1333537	Up
3030	FRY	1.1331417	Up
355	LOC100289283	1.1310515	Up
460	CSGALNACT2	1.1306524	Up
1196	TRIM65	1.1298902	Up
1510	IRF9	1.1281127	Up
1494	UGCG	1.1276837	Up
2337	KRT85	1.125943	Up
936	CENPU	1.1252925	Up
2448	IPP	1.1251858	Up
2947		1.1243445	Up
2488	FSCN1	1.1228855	Up
1170	SMC4	1.1220592	Up
1123	CBX3	1.1219286	Up
858	HEYL	1.1217236	Up
2885		1.1207058	Up
1983	PTRH2	1.1205878	Up
1784	TRIM14	1.1205201	Up
1111	RNF126	1.120477	Up
911	SEMA4C	1.1189792	Up
2642	IL23A	1.1188641	Up
1641	CASP10	1.1181462	Up
2717	HIST1H3F	1.1173302	Up
887	KIAA2026	1.1172048	Up
945	ACER3	1.1168333	Up
2889		1.1166634	Up
3494	GPR26	1.1156669	Up
1193	SNX22	1.1153276	Up
3462		1.11531	Up
576	MRPL15	1.1148123	Up
644		1.11467	Up
2570	SELT	1.1143343	Up
2217	LOC105371401	1.1137672	Up
2941	METRN	1.1133627	Up
661	PBX2	1.1127158	Up
1092	ALS2	1.1123346	Up
1062	THY1	1.1110126	Up
1810	RIN3	1.1083231	Up
2059	PARD6G-AS1	1.1049027	Up
182	LOC101929368///FKBP1A	1.1045032	Up
1502	PARP1	1.1039396	Up
2616	TPPP2	1.1035267	Up
2221	FAM49B	1.1016212	Up
2178	GALNT1	1.1009742	Up
3017	C9orf84	1.1009585	Up
2029	GIT2	1.100396	Up
1342	TLR8	1.100382	Up
1781	ZWINT	1.0985941	Up
2287		1.0982307	Up
3218	PDE8A	1.0966919	Up
2521	FAM173A	1.0965308	Up
3018	RPS27A	1.0960331	Up
2211	CHST15	1.095643	Up
3081		1.0949361	Up
2539	MRPS33	1.0946209	Up
3440	ACSS1	1.0920354	Up
2792	CLIP1-AS1	1.0917474	Up
2462	LINC01013	1.0911838	Up
3045		1.0896425	Up
3023	HIST1H4J	1.0895824	Up
1976	DGCR5	1.0893668	Up
3412	SGCB	1.0886687	Up
3242	CSE1L	1.0873863	Up
2710	TTC9C	1.0872503	Up
3365	ITGA11	1.0855062	Up
919	CDK2	1.0839092	Up
177	CLNS1A	1.0834649	Up
1185	FMNL3	1.0830883	Up
1765	ASAP1	1.0826642	Up
505	LINC00112	1.0825322	Up
678	PMCHL1	1.0823797	Up
1644	SLC37A2	1.0808145	Up
1690		1.0800979	Up
2675	LRRN4	1.0796189	Up
799	METRN	1.0795421	Up
853	ACTN1	1.0780403	Up
766	ATP6V1C1	1.0777555	Up
783	LINC01310	1.0775651	Up
2064	C8orf17	1.0770077	Up
3000	RABGAP1	1.0766388	Up
2853	LOC100506319	1.0765378	Up
1403	PPP3R2	1.0759076	Up
3398		1.0747648	Up
2329	FAM43A	1.0743388	Up
2991	GALK2	1.0716701	Up
1990	GRK6	1.0711695	Up
839	PTPRB	1.0700879	Up
2399	CAPN15	1.0697381	Up
3235	HTR2C	1.0690551	Up
1457	SQLE	1.0669371	Up
1936	SLC22A1	1.0662639	Up
1081	SIX2	1.0642503	Up
1517	LINC01551	1.063974	Up
3041	RAB12	1.0632761	Up
2827	TRIM32	1.0630486	Up
1638	GMIP	1.0629792	Up
2720		1.0619585	Up
3366		1.0615591	Up
961		1.0606542	Up
2826	INTS6	1.0600742	Up
1676	DNAJB8-AS1	1.0599345	Up
1112	SNRPD1	1.0583434	Up
2735	SUPT4H1	1.0580716	Up
2177	MCF2L-AS1	1.0577415	Up
1817	ATG3	1.0570989	Up
1187	DENND2C	1.0563095	Up
2573	LOC105369595	1.0554026	Up
3184	WNT2	1.0538604	Up
1895	PARP9	1.053319	Up
3258	ESD	1.0526348	Up
894		1.0525469	Up
1851	CA14	1.052408	Up
1434	ZNF578	1.0522973	Up
457	PRND	1.0521094	Up
1849	SLC8A3	1.0508571	Up
1385	SRRM4	1.0507592	Up
3223	TTLL11	1.0501728	Up
1667	LPIN2	1.0495578	Up
3358	LYST	1.0492152	Up
2518	BCL2L13	1.0474866	Up
2008	TAF6L	1.047124	Up
3062	ST8SIA4	1.0470087	Up
2479	APOOL	1.0466233	Up
1934		1.0464973	Up
1542		1.0461893	Up
480	DIO2	1.045266	Up
1355	LOC101930655///C7orf73	1.0452649	Up
1824		1.044771	Up
1534	VPS33A	1.0444806	Up
1598	CYP2C18	1.0426585	Up
2457	SERPINH1	1.042519	Up
722	SLC20A1	1.0415732	Up
812	AMACR	1.0414624	Up
2492	RPS6KA6	1.040864	Up
2403	RAB27A	1.0406992	Up
1747	PDGFRB	1.0385015	Up
3097	SLC25A30	1.0366495	Up
2527	LOC101929570	1.0366024	Up
935	LINC01144	1.0349894	Up
2639		1.0339989	Up
2398		1.0339362	Up
2647	BCL7C	1.0326908	Up
1487		1.0312107	Up
2911		1.0309089	Up
2359		1.0307676	Up
3489	HERC6	1.0295162	Up
2258	GP5	1.0292173	Up
3124	GATAD2A	1.0291886	Up
2416		1.0291548	Up
3442	JAKMIP1	1.0272728	Up
2114		1.0266882	Up
3458	HMGCS1	1.0266785	Up
2231	REXO2	1.026123	Up
1065	STK4	1.0260233	Up
2585	IFNA1	1.0258189	Up
758	PARP9	1.0236822	Up
1597	IGF2BP2-AS1	1.0227004	Up
1356	CCDC169	1.020557	Up
867	SPANXA2///SPANXC///SPANXA1	1.0204291	Up
1512	ZNF91	1.0199173	Up
1001	PPFIBP1	1.0195071	Up
2038	TFAP2D	1.0190718	Up
2357	FLG2	1.0189765	Up
2798	WIPF1	1.0189278	Up
2155	ZKSCAN7	1.0184699	Up
1277	PCDH17	1.0183991	Up
2137	ACHE	1.0180905	Up
445		1.0180164	Up
781	CEP41	1.0164895	Up
2251		1.0154933	Up
520	MRPL13	1.0149927	Up
2509		1.0145596	Up
1286		1.0138357	Up
2562	INSM2	1.0127139	Up
1488		1.0120663	Up
2924		1.0113179	Up
3015		1.0112919	Up
3255	DNAJC21	1.0104678	Up
1245	ZNF623	1.0100872	Up
3128	SLC7A7	1.0097294	Up
1539	KLF12	1.009481	Up
2131	LOC101927499	1.0093057	Up
1082	HORMAD2	1.0089601	Up
1304	LEMD3	1.0075625	Up
2279	UBAP2L	1.0062925	Up
442	LOC100130872///SPON2	1.0061084	Up
1897	RHOF	1.0051776	Up
3177	TRPA1	1.004908	Up
1649		1.0044211	Up
2410	TPM3	1.0036193	Up
3191	CRISPLD2	1.0023453	Up
2802	STAU2	1.0022483	Up
565	TGM5	1.0019683	Up
2405		1.0017787	Up
1165	OVOL1-AS1	1.0012519	Up
1445	ERLEC1	1.0006287	Up
2625	CNOT6L	0.9985767	Up
1945	ANKRD34C	0.9971201	Up
2091	NENF	0.9948742	Up
1944		0.9945775	Up
2658	HIST1H3G	0.9943116	Up
2203	LOC101927257	0.9941484	Up
2385	CLEC11A	0.9940815	Up
1565		0.9931268	Up
2937	AQP6	0.9926436	Up
513	GPRIN3	0.9916883	Up
2584	CDKN2A	0.9914042	Up
1237		0.9904926	Up
772		0.9886995	Up
1883	ZNF225	0.9871532	Up
2868	FNDC9	0.9860704	Up
747	HHATL	0.9860559	Up
1363	TEX26	0.9858608	Up
1327	LOC202181	0.9850456	Up
1046		0.9847192	Up
2394		0.9841254	Up
1637		0.9835943	Up
2441	CHRD	0.9823604	Up
1947	LDLRAD4-AS1	0.9803829	Up
1124		0.9783513	Up
1537	RTCA	0.9779066	Up
3361	LOC100505782	0.9768949	Up
561	CA6	0.9765148	Up
2599	PRKCDBP	0.9762356	Up
2895	LL0XNC01-116E7.2	0.9760258	Up
2973	PLXDC1	0.9752817	Up
1998	UBTD2	0.9747081	Up
2426	PLAU	0.9741512	Up
3069	TATDN3	0.9736667	Up
1204	OR51B5	0.9733025	Up
3275	GPSM3	0.9731237	Up
2461	AP3M2	0.9730986	Up
3210	ELK3	0.9725313	Up
2126	TIFAB///DCANP1	0.9722798	Up
1058		0.9720135	Up
2374	PPP1R15B	0.9702292	Up
1658	EPHA5	0.9699114	Up
3304	CAPN1	0.9695568	Up
2470	CDC25C	0.9692218	Up
3116	TRAC	0.9682926	Up
2536		0.9681585	Up
1995	C1orf159	0.9676183	Up
3231	RNF213	0.9669044	Up
2757		0.9667787	Up
723	FLAD1	0.9667173	Up
3277	SATB2-AS1	0.964435	Up
2055	CACYBP	0.9641427	Up
1775	KIAA1524	0.9629073	Up
3261		0.9624926	Up
3180	ADGRF2	0.9614368	Up
2328	RBFOX1	0.9612175	Up
1815	WDR62	0.9603213	Up
2318	TROVE2	0.9582145	Up
1739	TEX26-AS1	0.9566764	Up
2250	MED20	0.9565423	Up
1499	COL6A1	0.9554051	Up
3273	HNRNPU	0.9545993	Up
3308	HAUS7///TREX2	0.9545044	Up
1805	MIAT	0.9544926	Up
2835	POLN	0.9543523	Up
1493	LOC101926967	0.9540405	Up
1822	RNF144A-AS1	0.9539002	Up
3375	LOC101930489///LINC00152	0.953795	Up
1269	PTN	0.9537207	Up
2071		0.9536488	Up
1518	EXOSC10	0.9530569	Up
1155	CD6	0.9526616	Up
3198	POLR3H	0.9523171	Up
1034	RAB18	0.9514431	Up
2282	PRPF18	0.9510326	Up
2660		0.95016	Up
3341	IGHG1	0.9497978	Up
2715	LOC101927274	0.9493953	Up
2430	CAMSAP2	0.9484466	Up
1686	GS1-279B7.1	0.9472453	Up
2078	DNAH17-AS1	0.9468385	Up
2449	ANPEP	0.9467861	Up
2189	AQP8	0.9467481	Up
2641	SAR1B	0.9461697	Up
2400	MUC13	0.945763	Up
1049	SLC6A17	0.9442242	Up
3220	LOC100505797	0.9437546	Up
3226	ANOS1	0.9432626	Up
910	ANKRD13B	0.9427551	Up
3073	KLHL7	0.9423856	Up
3251	KCNN3	0.9421679	Up
2519	LOC100506071	0.9408263	Up
2992	BTBD9	0.9404758	Up
2870	C1RL	0.9392506	Up
2387	OVAAL	0.9392468	Up
2386	LST1	0.9380879	Up
1460	MRPS25	0.9376212	Up
1803		0.937432	Up
1132		0.9365828	Up
2201	LRCH3	0.9358165	Up
3293	AGPS	0.9347518	Up
1880	VGLL2	0.9346469	Up
2345		0.9336439	Up
2501	DYRK2	0.9336315	Up
944		0.9318954	Up
1530	DDX39A	0.9318077	Up
1274	C1orf43	0.9317259	Up
3104	MROH1	0.9293705	Up
1600		0.9292091	Up
1693	XYLT2	0.9291658	Up
2338	RASSF8-AS1	0.9290264	Up
1741	BRWD3	0.9279519	Up
700	FAM134B	0.927445	Up
2726	GRK6	0.9263705	Up
2115	PRDM14	0.926144	Up
2554	CSRNP3	0.9258859	Up
1173	POLR2K	0.9247138	Up
2482	C5orf17	0.9242316	Up
3013	CSNK1A1	0.9223126	Up
818	WDR11-AS1	0.9219359	Up
3243	LOC728073	0.9215353	Up
2266	NACC2	0.9208805	Up
1768	TM6SF2	0.9206503	Up
3164		0.9199773	Up
3371	ADNP	0.9195052	Up
3205		0.9192291	Up
1996	PREP	0.9191534	Up
925		0.9184498	Up
2928	LOC105376796	0.91843	Up
2921		0.9178576	Up
3067	TAGAP	0.9167238	Up
2630	PDE4A	0.9163455	Up
3329		0.9162162	Up
1937		0.9157151	Up
2934	IFITM1	0.9152609	Up
2535	SH2D3C	0.9139921	Up
2030	LOC101060386///BOLA2///SMG1	0.9137638	Up
3266	C17orf80	0.9137169	Up
3140	SLC6A3	0.9132511	Up
1268	IL10RB	0.9123656	Up
2291	LINC01120	0.9121289	Up
1812		0.9121082	Up
1557	KAT8	0.9105211	Up
3471	RBL1	0.9102392	Up
1920	C15orf59	0.9098756	Up
2940	ATP11A-AS1	0.9073649	Up
3438	PSG5	0.9061815	Up
1388		0.9059554	Up
2322	ZDHHC9	0.9056456	Up
1089	CALU	0.9055619	Up
483	CYTH1	0.9030433	Up
3132	OSM	0.9028126	Up
3174		0.9026837	Up
2534	SP110	0.900435	Up
2910	ADH6	0.8993182	Up
2843	LOC101928818///PWRN1	0.897234	Up
2227		0.8970287	Up
2193	CADM3	0.8961754	Up
1971	RBFOX1	0.8952639	Up
2315	IMPAD1	0.8942669	Up
3055	UHMK1	0.89379	Up
2899		0.8930814	Up
2332		0.8927533	Up
2819		0.8926347	Up
2045	COL18A1	0.8924458	Up
1087	C15orf39	0.8924362	Up
2674	PDX1	0.8924133	Up
2085	ENTPD1	0.8909903	Up
3185	MAN2B1	0.8906071	Up
979	FABP3P2	0.8901367	Up
1589	SEZ6L	0.8895381	Up
905	FADD	0.88933	Up
1500	LOC101927653	0.8889683	Up
2731	ITK	0.8889445	Up
3390	ANKRD19P	0.886822	Up
1227	PBX2	0.8844392	Up
3043	HSPG2	0.88443	Up
495	TMEM206	0.8838649	Up
3297	AP1S2	0.8838445	Up
3169	LOC90246	0.8832062	Up
992	PIK3CB	0.8818156	Up
3324	C5orf34	0.881652	Up
3153	UBE2W	0.8815999	Up
2135	CXorf21	0.8796221	Up
1101	LINC01013	0.8792128	Up
2012	ENOX2	0.8788091	Up
1921	ABI3	0.8727744	Up
2407	SPARC	0.8708809	Up
1720	AP4S1	0.8699325	Up
1441	TGM2	0.867429	Up
2553	NKD2	0.867078	Up
2130	MMP12	0.8668723	Up
2824	SLC5A10	0.8665583	Up
3216	HOXB1	0.8645545	Up
2651	KCNG3	0.8603005	Up
1606	POLR2K	0.8596952	Up
3510		0.8589619	Up
1796	HRES1	0.8587948	Up
2432	SP110	0.856182	Up
2161	FATE1	0.8555536	Up
2463	TRIP13	0.8548998	Up
2216	WSB2	0.8546708	Up
2845	ZNF207	0.8543749	Up
3171	KIAA2022	0.8539698	Up
3228	UBA6	0.8536755	Up
3493	SIPA1L3	0.8524178	Up
1691	NDUFB10	0.8521157	Up
2490	GABRA1	0.8493498	Up
2724	C1GALT1C1	0.8493218	Up
451		0.8492123	Up
1524	C20orf166-AS1	0.8490411	Up
2767	THEMIS2	0.8468684	Up
1866	SRXN1	0.8455547	Up
2841	C16orf70	0.8453533	Up
2523	OLIG1	0.8453333	Up
575	LINC01588	0.844999	Up
2860		0.8449638	Up
3450	ARID1B	0.8435211	Up
2810	TNFRSF10A	0.8434211	Up
1714	KLHL18	0.843157	Up
3330	GRIN2D	0.8423904	Up
1538		0.8414521	Up
1935		0.8409014	Up
1876	ACTG1P17	0.8401983	Up
1958	CXCR4	0.8400911	Up
2610		0.8399339	Up
2517	PQLC3	0.8387652	Up
1117	INE1	0.8366069	Up
1318	PWWP2A	0.8359442	Up
2844	EML4	0.835496	Up
2774	C6orf62	0.8345625	Up
2769	LOC101929289	0.8341561	Up
2292	ZNF432	0.8337059	Up
2168	NSMCE2	0.8326548	Up
2984	PIN1P1	0.83207	Up
3487		0.8317468	Up
2260		0.8307692	Up
1440	KIAA1549L	0.8303149	Up
1908	OAS2	0.8301552	Up
2556	MTSS1	0.8297468	Up
3306	MTDH	0.8291533	Up
2759	STRN	0.8283776	Up
2139	ARL6IP1	0.8278594	Up
2875	UHRF1BP1L	0.8277831	Up
1569	RAB27A	0.8277787	Up
2607	HRH2	0.8270726	Up
3428	MRPL42	0.8259611	Up
1602	DUOX1	0.8249677	Up
1865	GNRH2	0.8246022	Up
2964	PRICKLE1	0.8234406	Up
2594	FLJ30064///BRI3	0.8232269	Up
2058	CD84	0.8225154	Up
3431	HTATIP2	0.8223447	Up
2026	SPINK2	0.8222685	Up
3421	MFNG	0.8203135	Up
1288	DCAF6	0.8202716	Up
1572	LINC00661	0.8197937	Up
2832	LOC286068	0.8187924	Up
2444		0.8185501	Up
1057		0.8182218	Up
2401	NCAM2	0.8181954	Up
1778	ALDH3B1	0.8166661	Up
1826	ITGAM	0.8151788	Up
2340	YWHAEP7	0.8143874	Up
1556	SNRPC	0.8128792	Up
953	MCM10	0.8121198	Up
3232		0.811396	Up
2951	ARPC5L	0.8109265	Up
2473		0.8095186	Up
2708	MIR612///NEAT1	0.8089715	Up
2918	LINC01128	0.8076395	Up
1881	LINC00216	0.8075306	Up
3429	RNF207	0.806351	Up
2368		0.8051873	Up
2275	HTATIP2	0.8031295	Up
3208	ZNF169	0.8030684	Up
3173	PLXDC2	0.8027982	Up
2084	SIX6	0.8023122	Up
2955	CTLA4	0.8022247	Up
3188	LOC284080	0.8019155	Up
2526	RNF166	0.8018464	Up
1096	AQP2	0.8014819	Up
3114	RPS6KC1	0.8007707	Up
2366	PARP12	0.8004438	Up
1843		0.8002856	Up
1997	FIP1L1	0.7999383	Up
1799	URB1	0.7998062	Up
2073	NIN	0.7993848	Up
3214	CENPJ	0.7989357	Up
2967		0.7974786	Up
921	UNC5B	0.7961313	Up
2166	THEMIS2	0.7939251	Up
630	AP3M1	0.7932109	Up
2672	EPS15L1	0.7923744	Up
2779	NSD1	0.7918533	Up
2645	CALU	0.7870545	Up
601	ANKRD22	0.7861142	Up
1529	LINC00165	0.7855753	Up
1290	ETS1	0.7854127	Up
2504	PCGF5	0.7851707	Up
2996	TMC6	0.7840017	Up
3422	AMPD3	0.7833415	Up
2655	CLC	0.7831605	Up
1142	SEMA4A	0.7828581	Up
2904	FAM19A5	0.7828277	Up
3387	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI	0.7827843	Up
2949	TMC5	0.7826192	Up
2393	UBAP2L	0.7822396	Up
2850	FER1L6-AS1	0.7819348	Up
3182		0.7807764	Up
2207	CACYBP	0.7806238	Up
3378	SEMA4A	0.7803069	Up
1723	BPIFA1	0.7793512	Up
1837	PCSK4	0.7789777	Up
3192	KPNA2	0.7780839	Up
1949	TCIRG1	0.777505	Up
3455	WNK1	0.7758447	Up
1717		0.775444	Up
3092	MAPK14	0.7713985	Up
2976	LINC00663	0.7711414	Up
1750	SLC7A11	0.7707195	Up
2800	TGFBI	0.7707054	Up
2919	IRAK1	0.770641	Up
2795		0.7689054	Up
2548	ARV1	0.7660725	Up
2284	MRPS14	0.7655922	Up
3264	ATP6V1C1	0.7643647	Up
3244	MED6	0.7635563	Up
3415	CASP4	0.7605686	Up
1836	TAS2R1	0.7594777	Up
2891	NREP	0.7580131	Up
3145	GULP1	0.7564405	Up
2926	CYP11B1	0.7552977	Up
3491	CD2BP2	0.7551172	Up
3090	CPNE7	0.7551063	Up
2695		0.7542896	Up
2271		0.7523664	Up
816	PCNA	0.7487979	Up
2098	NUP210	0.7470876	Up
2721	TPR	0.7470348	Up
3271	LOC100506639///ZNF131	0.7464814	Up
2313	REG1CP	0.7459368	Up
1728	CDH24	0.7439542	Up
2445		0.7435234	Up
3373	CYP2C8	0.743459	Up
1661	TOMM5	0.743347	Up
2687		0.7432209	Up
2915	TARS	0.7426232	Up
1642	SMOC2	0.7409896	Up
1430	TIMM17A	0.7396935	Up
2677	PYCR1	0.7385876	Up
2711	NCOA2	0.736562	Up
3394	SP140L	0.7364503	Up
1257		0.7348199	Up
1195		0.7341914	Up
1982	UNC5A	0.733544	Up
555	CNIH4	0.7300119	Up
3336	FAM172A	0.7297651	Up
3447	MAPKAPK3	0.7264647	Up
3302	DHX40	0.7263717	Up
641	SEC11A	0.7251054	Up
2987	DAZ4///DAZ2///DAZ3///DAZ1	0.722552	Up
2371	ZAN	0.7219573	Up
3418	NHLRC2	0.7214971	Up
2956	WIPF1	0.7213872	Up
3507	CLTA	0.7202408	Up
2297	TMEM167A	0.720033	Up
2683	LINC00924	0.719663	Up
1630	VEGFA	0.719443	Up
3369	EFR3B	0.7191843	Up
3475		0.717689	Up
3414	CHTF18	0.7160983	Up
3509		0.7159737	Up
3360	MICALL2	0.7148426	Up
2246	CALU	0.7143414	Up
3051	STK33	0.7138305	Up
3430	HLA-G	0.713714	Up
2355		0.706947	Up
3270		0.7051534	Up
2794		0.7048635	Up
1056	YTHDF3	0.7027027	Up
2009	PRR5L	0.702315	Up
1965	ZBTB39	0.7016033	Up
1974	ZNF85	0.7010878	Up
2880	FANCD2OS	0.6999387	Up
3374		0.6998438	Up
1816	MTDH	0.6996994	Up
1685	ARPC3	0.6989094	Up
3383	PLD4	0.6968951	Up
3501		0.6965961	Up
939	POU2F2	0.6960365	Up
3138	TMEM72	0.6949001	Up
3488	HMGB2	0.6931424	Up
2777	GNG5	0.6905649	Up
2286	PFN1	0.689627	Up
823	HFE	0.6888163	Up
3125	QRICH1	0.6886255	Up
2254	MYD88	0.6886095	Up
3443	PWP1	0.6880519	Up
3065	IFIH1	0.6876021	Up
3119	POLQ	0.6872349	Up
2170	SLC10A1	0.6861319	Up
1862	FITM2	0.6860681	Up
2194	CNTNAP1	0.6853495	Up
2590	MTIF2	0.6837168	Up
2755	ODF3B	0.6829292	Up
2487	C1QTNF3	0.682917	Up
3385	TMEM70	0.6807734	Up
2213	CTLA4	0.6802026	Up
2559	TTTY8B///TTTY8	0.6775762	Up
3241	GDF11	0.676846	Up
2785	POLRMT	0.6749565	Up
3152	HMOX2	0.6717252	Up
3079	C17orf62	0.666669	Up
2703	GRAMD1A	0.6660465	Up
3408	VPS41	0.662459	Up
3331	TPP1	0.661386	Up
3349	MIR1282///HYPK///SERF2	0.6612522	Up
2811	FRS3	0.6609677	Up
2033	KCNN1	0.6594931	Up
3110		0.6584421	Up
2815	VGF	0.6583705	Up
3019	HTRA1	0.6580827	Up
2525	OASL	0.6539766	Up
3405	STK32C	0.6537169	Up
2876	GGPS1	0.6536543	Up
1844		0.6516853	Up
1673	HSPE1	0.6506592	Up
2704	AK6///TAF9	0.6491599	Up
2929	SRP72	0.648752	Up
2719	BRCC3	0.6485857	Up
3492	TMPRSS5	0.648344	Up
2966	VPS45	0.6481678	Up
1709	TPM3	0.6468745	Up
3474		0.6454803	Up
3034	TMCO1	0.6453353	Up
3158	H2AFZ	0.643848	Up
3416		0.639491	Up
1834	ADAMTS12	0.6351865	Up
2467	CD84	0.6289391	Up
3070	DCAF13	0.6286981	Up
3083	IGF2BP1	0.6283593	Up
2840	HFE	0.627994	Up
1841	H2AFZ	0.627913	Up
2598	CPNE9	0.6260061	Up
2350	PGK1	0.6254302	Up
3441	MIR3150B///MIR3150A///LOC286149	0.6242705	Up
1345	CD80	0.6240992	Up
1279	SHISA5	0.6235196	Up
3141		0.6230301	Up
3300	PWWP2B	0.6214438	Up
3342	SCRIB	0.6206051	Up
3445		0.6195769	Up
3170	NCKAP1L	0.6183467	Up
2886	RPS6KA4	0.61766	Up
3388	FASTKD5	0.6159656	Up
2520	LOC100133089	0.613154	Up
3149	STUB1	0.6128552	Up
3151	FAAP24	0.6118485	Up
2540	TTC3P1///TTC3	0.6104309	Up
2923	STUB1	0.6102231	Up
3434	DCAF6	0.6100909	Up
2146	CALCOCO2	0.6094587	Up
732	TUBA4B	0.6090986	Up
2047	NDNF	0.6055317	Up
3353	IKBKG	0.6051664	Up
3186	COL1A1	0.6038657	Up
3506	LINC00563	0.6013198	Up
2423	CLCN7	0.601244	Up
3183	MTDH	0.60123	Up
1545	LINC01210	0.6000772	Up
2471	CBX3	0.5988606	Up
3224	HNF4A	0.5970673	Up
3465	NIFK-AS1	0.5951025	Up
3483	KRT2	0.589646	Up
1952	MED14	0.5844358	Up
2499	DHX36	0.5716354	Up
1910	STXBP6	0.5700037	Up
1977	DESI2	0.5688566	Up
3233		0.568305	Up
2699	SATB1-AS1	0.5680614	Up
2856	ZNF81	0.5667487	Up
2232	GNG3	0.5637077	Up
2865	SULT1B1	0.5591914	Up
2257	CARD10	0.5577157	Up
2285	PADI1	0.5570537	Up
1563		0.5464816	Up
2458	ULBP1	0.5461705	Up
2181	BCAN	0.5443642	Up
3486	MFSD12	0.5419127	Up
2938	LURAP1	0.5417645	Up
2888	SERF2-C15ORF63///MIR1282///HYPK///SERF2	0.5416576	Up
2474	MEI1	0.540854	Up
2117	SLAMF6	0.5362557	Up
2230	ZNF641	0.5334293	Up
2567	LOC101929007	0.5301206	Up
2079	PPP6R1	0.5249667	Up
2863	LOC100505918	0.5238209	Up
3206	LINC00884	0.5233042	Up
2252	MRPL9	0.5204014	Up
3250	ITSN1	0.5203703	Up
2626	NR5A2	0.5131128	Up
2452	TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3	0.5108833	Up
2424	PAM16	0.5074126	Up
3115	VDAC3	0.5065218	Up
3402	ADCY2	0.5056953	Up
2739	APCDD1L-AS1	0.5014836	Up
3269	ATP6V1G2	0.4967205	Up
